Zeit (s) Messreihe_Kern1_5_100_R;Spannung, Ch A (V) Messreihe_Kern1_5_100_R;Spannung, Ch B (V) Messreihe_Kern1_5_100_R;Zeit (s) Messreihe_Kern1_6_100_R;Spannung, Ch A (V) Messreihe_Kern1_6_100_R;Spannung, Ch B (V) Messreihe_Kern1_6_100_R;Zeit (s) Messreihe_Kern1_7_100_R_80;Spannung, Ch A (V) Messreihe_Kern1_7_100_R_80;Spannung, Ch B (V) Messreihe_Kern1_7_100_R_80;Zeit (s) Messreihe_Kern2_8_100_R;Spannung, Ch A (V) Messreihe_Kern2_8_100_R;Spannung, Ch B (V) Messreihe_Kern2_8_100_R;Zeit (s) Messreihe_Kern3_9_100;Spannung, Ch A (V) Messreihe_Kern3_9_100;Spannung, Ch B (V) Messreihe_Kern3_9_100;Zeit (s) Messreihe_Kern3_10_100;Spannung, Ch A (V) Messreihe_Kern3_10_100;Spannung, Ch B (V) Messreihe_Kern3_10_100;Zeit (s) Messreihe_Kern3_11_100;Spannung, Ch A (V) Messreihe_Kern3_11_100;Spannung, Ch B (V) Messreihe_Kern3_11_100;Zeit (s) Messreihe_Kern3_12_100_schleife_Muell;Spannung, Ch A (V) Messreihe_Kern3_12_100_schleife_Muell;Spannung, Ch B (V) Messreihe_Kern3_12_100_schleife_Muell;Zeit (s) Messreihe_Kern3_13_100_schleife;Spannung, Ch A (V) Messreihe_Kern3_13_100_schleife;Spannung, Ch B (V) Messreihe_Kern3_13_100_schleife;Zeit (s) Messreihe_Kern3_14_100_spirale_Muell;Spannung, Ch A (V) Messreihe_Kern3_14_100_spirale_Muell;Spannung, Ch B (V) Messreihe_Kern3_14_100_spirale_Muell;Zeit (s) Messreihe_Kern3_15_100_spirale;Spannung, Ch A (V) Messreihe_Kern3_15_100_spirale;Spannung, Ch B (V) Messreihe_Kern3_15_100_spirale;Zeit (s) Messreihe_Kern4_16_100_R_Muell;Spannung, Ch A (V) Messreihe_Kern4_16_100_R_Muell;Spannung, Ch B (V) Messreihe_Kern4_16_100_R_Muell;Zeit (s) Messreihe_Kern4_17_2_R;Spannung, Ch A (V) Messreihe_Kern4_17_2_R;Spannung, Ch B (V) Messreihe_Kern4_17_2_R;Zeit (s) Messreihe_Kern4_18_2_R;Spannung, Ch A (V) Messreihe_Kern4_18_2_R;Spannung, Ch B (V) Messreihe_Kern4_18_2_R
1,900;8,464;-0,002;1,900;9,993;0,002;1,900;9,664;0,005;1,900;5,977;0,003;1,900;1,006;0,005;1,900;1,006;0,005;1,900;1,046;0,005;1,900;1,066;0,002;1,900;0,980;0,007;1,900;1,065;0,002;1,900;1,055;0,004;1,900;6,248;0,006;1,900;4,940;0,050;1,900;4,743;0,018
1,925;8,464;-0,002;1,925;9,993;0,003;1,925;9,663;0,005;1,925;5,978;0,002;1,925;1,006;0,005;1,925;1,004;0,005;1,925;1,046;0,003;1,925;1,066;0,003;1,925;0,977;0,007;1,925;1,065;0,003;1,925;1,055;0,003;1,925;6,248;0,005;1,925;4,940;0,050;1,925;4,668;0,019
1,950;8,466;-7,693E-4;1,950;9,993;0,004;1,950;9,663;0,004;1,950;5,978;0,002;1,950;1,005;0,006;1,950;1,001;0,007;1,950;1,046;0,003;1,950;1,066;0,004;1,950;0,974;0,007;1,950;1,065;0,003;1,950;1,055;0,002;1,950;6,248;0,004;1,950;4,940;0,051;1,950;4,602;0,018
1,975;8,475;-0,002;1,975;9,993;0,004;1,975;9,664;0,004;1,975;5,977;0,002;1,975;1,004;0,006;1,975;0,999;0,007;1,975;1,046;0,004;1,975;1,065;0,003;1,975;0,971;0,008;1,975;1,065;0,002;1,975;1,054;0,003;1,975;6,248;0,004;1,975;4,939;0,051;1,975;4,570;0,018
2,000;8,477;-0,002;2,000;9,993;0,003;2,000;9,664;0,004;2,000;5,977;0,003;2,000;1,003;0,006;2,000;0,996;0,005;2,000;1,046;0,004;2,000;1,065;0,002;2,000;0,968;0,008;2,000;1,065;0,002;2,000;1,053;0,004;2,000;6,248;0,005;2,000;4,940;0,051;2,000;4,563;0,019
2,025;8,476;-0,002;2,025;9,993;0,003;2,025;9,663;0,005;2,025;5,978;0,002;2,025;1,002;0,005;2,025;0,996;0,006;2,025;1,046;0,003;2,025;1,066;0,003;2,025;0,965;0,007;2,025;1,065;0,003;2,025;1,053;0,003;2,025;6,248;0,005;2,025;4,940;0,050;2,025;4,548;0,019
2,050;8,474;-0,001;2,050;9,993;0,004;2,050;9,663;0,004;2,050;5,978;0,002;2,050;1,002;0,006;2,050;0,995;0,007;2,050;1,046;0,003;2,050;1,066;0,004;2,050;0,962;0,008;2,050;1,065;0,003;2,050;1,053;0,003;2,050;6,248;0,003;2,050;4,940;0,051;2,050;4,520;0,018
2,075;8,451;-0,002;2,075;9,993;0,004;2,075;9,664;0,004;2,075;5,978;0,003;2,075;1,001;0,006;2,075;0,995;0,007;2,075;1,044;0,004;2,075;1,066;0,004;2,075;0,959;0,009;2,075;1,065;0,002;2,075;1,053;0,003;2,075;6,248;0,004;2,075;4,941;0,052;2,075;4,495;0,018
2,100;8,404;-0,003;2,100;9,993;0,003;2,100;9,664;0,005;2,100;5,978;0,003;2,100;1,001;0,006;2,100;0,995;0,006;2,100;1,043;0,004;2,100;1,066;0,002;2,100;0,956;0,009;2,100;1,065;0,002;2,100;1,053;0,005;2,100;6,248;0,005;2,100;4,941;0,051;2,100;4,495;0,020
2,125;8,358;-0,002;2,125;9,993;0,003;2,125;9,663;0,005;2,125;5,978;0,002;2,125;0,999;0,005;2,125;0,994;0,006;2,125;1,041;0,003;2,125;1,065;0,003;2,125;0,953;0,008;2,125;1,065;0,003;2,125;1,053;0,004;2,125;6,248;0,005;2,125;4,940;0,050;2,125;4,495;0,020
2,150;8,320;-0,002;2,150;9,993;0,004;2,150;9,663;0,004;2,150;5,977;0,002;2,150;0,998;0,007;2,150;0,992;0,007;2,150;1,040;0,003;2,150;1,065;0,004;2,150;0,950;0,008;2,150;1,065;0,003;2,150;1,053;0,003;2,150;6,248;0,004;2,150;4,941;0,052;2,150;4,499;0,018
2,175;8,290;-0,003;2,175;9,993;0,003;2,175;9,664;0,004;2,175;5,970;0,003;2,175;0,996;0,007;2,175;0,989;0,007;2,175;1,039;0,004;2,175;1,065;0,003;2,175;0,948;0,010;2,175;1,065;0,002;2,175;1,052;0,003;2,175;6,248;0,004;2,175;4,941;0,052;2,175;4,499;0,018
2,200;8,267;-0,004;2,200;9,993;0,003;2,200;9,664;0,005;2,200;5,945;0,003;2,200;0,994;0,006;2,200;0,987;0,006;2,200;1,036;0,005;2,200;1,066;0,002;2,200;0,946;0,010;2,200;1,065;0,002;2,200;1,052;0,004;2,200;6,247;0,005;2,200;4,940;0,051;2,200;4,499;0,020
2,225;8,241;-0,003;2,225;9,993;0,003;2,225;9,663;0,005;2,225;5,912;0,002;2,225;0,991;0,006;2,225;0,985;0,006;2,225;1,034;0,004;2,225;1,066;0,003;2,225;0,943;0,008;2,225;1,065;0,003;2,225;1,053;0,004;2,225;6,248;0,005;2,225;4,936;0,050;2,225;4,499;0,020
2,250;8,209;-0,003;2,250;9,993;0,004;2,250;9,663;0,004;2,250;5,869;0,002;2,250;0,989;0,007;2,250;0,982;0,007;2,250;1,032;0,004;2,250;1,065;0,004;2,250;0,940;0,009;2,250;1,065;0,003;2,250;1,052;0,003;2,250;6,249;0,004;2,250;4,925;0,052;2,250;4,499;0,018
2,275;8,176;-0,004;2,275;9,993;0,003;2,275;9,664;0,004;2,275;5,830;0,003;2,275;0,988;0,008;2,275;0,979;0,007;2,275;1,030;0,005;2,275;1,065;0,003;2,275;0,937;0,011;2,275;1,065;0,001;2,275;1,050;0,003;2,275;6,249;0,004;2,275;4,924;0,052;2,275;4,499;0,019
2,300;8,145;-0,005;2,300;9,993;0,003;2,300;9,664;0,005;2,300;5,802;0,003;2,300;0,986;0,007;2,300;0,978;0,007;2,300;1,027;0,005;2,300;1,066;0,003;2,300;0,934;0,010;2,300;1,065;0,002;2,300;1,049;0,005;2,300;6,248;0,005;2,300;4,874;0,051;2,300;4,499;0,020
2,325;8,112;-0,003;2,325;9,993;0,003;2,325;9,664;0,005;2,325;5,775;0,002;2,325;0,984;0,006;2,325;0,977;0,006;2,325;1,024;0,005;2,325;1,065;0,003;2,325;0,930;0,009;2,325;1,065;0,004;2,325;1,049;0,004;2,325;6,249;0,005;2,325;4,829;0,051;2,325;4,499;0,020
2,350;8,078;-0,004;2,350;9,993;0,004;2,350;9,663;0,004;2,350;5,753;0,002;2,350;0,982;0,007;2,350;0,977;0,008;2,350;1,022;0,005;2,350;1,066;0,004;2,350;0,927;0,010;2,350;1,065;0,003;2,350;1,048;0,003;2,350;6,250;0,004;2,350;4,814;0,052;2,350;4,499;0,018
2,375;8,050;-0,004;2,375;9,993;0,004;2,375;9,665;0,004;2,375;5,721;0,003;2,375;0,980;0,008;2,375;0,977;0,008;2,375;1,019;0,005;2,375;1,066;0,003;2,375;0,923;0,011;2,375;1,065;0,002;2,375;1,048;0,003;2,375;6,249;0,004;2,375;4,803;0,052;2,375;4,499;0,018
2,400;8,017;-0,005;2,400;9,993;0,003;2,400;9,664;0,005;2,400;5,687;0,003;2,400;0,977;0,007;2,400;0,977;0,007;2,400;1,018;0,006;2,400;1,065;0,002;2,400;0,921;0,011;2,400;1,065;0,002;2,400;1,048;0,005;2,400;6,249;0,005;2,400;4,789;0,051;2,400;4,499;0,020
2,425;7,978;-0,005;2,425;9,993;0,003;2,425;9,664;0,005;2,425;5,659;0,002;2,425;0,975;0,007;2,425;0,977;0,007;2,425;1,016;0,004;2,425;1,065;0,003;2,425;0,920;0,010;2,425;1,065;0,003;2,425;1,047;0,004;2,425;6,249;0,005;2,425;4,765;0,051;2,425;4,499;0,020
2,450;7,930;-0,004;2,450;9,993;0,004;2,450;9,664;0,004;2,450;5,633;0,002;2,450;0,973;0,008;2,450;0,977;0,008;2,450;1,014;0,005;2,450;1,065;0,004;2,450;0,919;0,010;2,450;1,065;0,003;2,450;1,046;0,003;2,450;6,249;0,004;2,450;4,723;0,052;2,450;4,499;0,019
2,475;7,880;-0,005;2,475;9,993;0,003;2,475;9,664;0,004;2,475;5,610;0,003;2,475;0,970;0,009;2,475;0,977;0,008;2,475;1,012;0,005;2,475;1,066;0,004;2,475;0,918;0,012;2,475;1,066;0,002;2,475;1,045;0,004;2,475;6,250;0,004;2,475;4,656;0,053;2,475;4,494;0,018
2,500;7,831;-0,007;2,500;9,993;0,003;2,500;9,664;0,005;2,500;5,582;0,003;2,500;0,967;0,007;2,500;0,977;0,006;2,500;1,010;0,006;2,500;1,065;0,002;2,500;0,918;0,011;2,500;1,065;0,002;2,500;1,043;0,005;2,500;6,249;0,005;2,500;4,508;0,053;2,500;4,434;0,020
2,525;7,786;-0,006;2,525;9,993;0,003;2,525;9,664;0,005;2,525;5,543;0,002;2,525;0,965;0,007;2,525;0,977;0,007;2,525;1,009;0,006;2,525;1,066;0,003;2,525;0,916;0,010;2,525;1,065;0,003;2,525;1,042;0,004;2,525;6,249;0,005;2,525;4,299;0,052;2,525;4,278;0,021
2,550;7,740;-0,006;2,550;9,993;0,004;2,550;9,664;0,005;2,550;5,504;0,002;2,550;0,964;0,009;2,550;0,977;0,008;2,550;1,008;0,005;2,550;1,065;0,004;2,550;0,915;0,010;2,550;1,065;0,003;2,550;1,041;0,003;2,550;6,249;0,004;2,550;4,188;0,054;2,550;4,179;0,020
2,575;7,698;-0,007;2,575;9,993;0,003;2,575;9,664;0,004;2,575;5,473;0,002;2,575;0,962;0,009;2,575;0,976;0,008;2,575;1,007;0,006;2,575;1,066;0,004;2,575;0,914;0,012;2,575;1,065;0,002;2,575;1,040;0,004;2,575;6,250;0,004;2,575;4,111;0,055;2,575;4,119;0,020
2,600;7,668;-0,008;2,600;9,993;0,003;2,600;9,664;0,005;2,600;5,451;0,003;2,600;0,962;0,008;2,600;0,975;0,006;2,600;1,006;0,007;2,600;1,065;0,002;2,600;0,914;0,012;2,600;1,065;0,002;2,600;1,039;0,005;2,600;6,249;0,005;2,600;4,077;0,054;2,600;4,086;0,021
2,625;7,633;-0,007;2,625;9,993;0,003;2,625;9,664;0,005;2,625;5,415;0,002;2,625;0,962;0,008;2,625;0,973;0,007;2,625;1,005;0,005;2,625;1,066;0,003;2,625;0,913;0,010;2,625;1,065;0,003;2,625;1,038;0,005;2,625;6,250;0,005;2,625;4,073;0,053;2,625;4,066;0,021
2,650;7,597;-0,007;2,650;9,993;0,004;2,650;9,664;0,005;2,650;5,368;0,001;2,650;0,962;0,009;2,650;0,972;0,009;2,650;1,005;0,005;2,650;1,066;0,004;2,650;0,912;0,011;2,650;1,065;0,003;2,650;1,037;0,003;2,650;6,250;0,004;2,650;4,073;0,054;2,650;4,028;0,020
2,675;7,566;-0,008;2,675;9,993;0,004;2,675;9,662;0,004;2,675;5,315;0,002;2,675;0,961;0,009;2,675;0,970;0,008;2,675;1,004;0,006;2,675;1,065;0,003;2,675;0,910;0,012;2,675;1,065;0,002;2,675;1,036;0,004;2,675;6,249;0,004;2,675;4,074;0,055;2,675;3,985;0,020
2,700;7,538;-0,009;2,700;9,993;0,003;2,700;9,661;0,005;2,700;5,255;0,003;2,700;0,962;0,008;2,700;0,969;0,007;2,700;1,003;0,007;2,700;1,065;0,002;2,700;0,909;0,012;2,700;1,065;0,002;2,700;1,035;0,005;2,700;6,249;0,005;2,700;4,074;0,054;2,700;3,946;0,022
2,725;7,525;-0,008;2,725;9,993;0,003;2,725;9,660;0,005;2,725;5,190;0,002;2,725;0,962;0,008;2,725;0,967;0,007;2,725;1,002;0,005;2,725;1,065;0,003;2,725;0,908;0,010;2,725;1,065;0,004;2,725;1,033;0,005;2,725;6,249;0,005;2,725;4,073;0,053;2,725;3,886;0,023
2,750;7,524;-0,007;2,750;9,993;0,004;2,750;9,660;0,004;2,750;5,143;0,001;2,750;0,961;0,008;2,750;0,966;0,008;2,750;1,002;0,005;2,750;1,065;0,004;2,750;0,908;0,011;2,750;1,066;0,003;2,750;1,032;0,004;2,750;6,250;0,004;2,750;4,073;0,054;2,750;3,832;0,021
2,775;7,524;-0,008;2,775;9,993;0,004;2,775;9,661;0,004;2,775;5,111;0,003;2,775;0,962;0,009;2,775;0,964;0,009;2,775;1,002;0,006;2,775;1,065;0,003;2,775;0,908;0,012;2,775;1,065;0,002;2,775;1,030;0,004;2,775;6,242;0,004;2,775;4,074;0,056;2,775;3,785;0,021
2,800;7,524;-0,009;2,800;9,993;0,003;2,800;9,661;0,005;2,800;5,083;0,003;2,800;0,962;0,008;2,800;0,962;0,007;2,800;1,002;0,007;2,800;1,066;0,002;2,800;0,908;0,012;2,800;1,065;0,002;2,800;1,030;0,006;2,800;6,207;0,005;2,800;4,073;0,053;2,800;3,716;0,023
2,825;7,524;-0,008;2,825;9,993;0,003;2,825;9,660;0,005;2,825;5,074;0,002;2,825;0,961;0,007;2,825;0,960;0,007;2,825;1,002;0,005;2,825;1,065;0,003;2,825;0,908;0,010;2,825;1,065;0,003;2,825;1,029;0,006;2,825;6,190;0,005;2,825;4,073;0,053;2,825;3,684;0,024
2,850;7,524;-0,008;2,850;9,993;0,004;2,850;9,660;0,004;2,850;5,073;0,001;2,850;0,961;0,009;2,850;0,958;0,009;2,850;1,002;0,005;2,850;1,065;0,004;2,850;0,908;0,011;2,850;1,064;0,003;2,850;1,028;0,004;2,850;6,165;0,004;2,850;4,076;0,055;2,850;3,679;0,021
2,875;7,524;-0,008;2,875;9,993;0,004;2,875;9,661;0,004;2,875;5,073;0,003;2,875;0,959;0,009;2,875;0,956;0,009;2,875;1,002;0,006;2,875;1,065;0,003;2,875;0,908;0,012;2,875;1,063;0,002;2,875;1,027;0,005;2,875;6,123;0,004;2,875;4,076;0,055;2,875;3,679;0,022
2,900;7,524;-0,008;2,900;9,993;0,003;2,900;9,660;0,005;2,900;5,073;0,003;2,900;0,959;0,008;2,900;0,954;0,008;2,900;1,002;0,007;2,900;1,065;0,002;2,900;0,908;0,012;2,900;1,062;0,002;2,900;1,026;0,006;2,900;6,076;0,005;2,900;4,061;0,054;2,900;3,679;0,023
2,925;7,524;-0,008;2,925;9,993;0,003;2,925;9,660;0,005;2,925;5,073;0,002;2,925;0,958;0,008;2,925;0,952;0,008;2,925;1,002;0,005;2,925;1,065;0,003;2,925;0,908;0,011;2,925;1,062;0,004;2,925;1,026;0,005;2,925;6,039;0,005;2,925;3,976;0,054;2,925;3,679;0,023
2,950;7,526;-0,007;2,950;9,993;0,004;2,950;9,660;0,004;2,950;5,073;0,001;2,950;0,956;0,009;2,950;0,951;0,009;2,950;1,002;0,005;2,950;1,065;0,004;2,950;0,906;0,011;2,950;1,061;0,003;2,950;1,024;0,004;2,950;6,001;0,004;2,950;3,832;0,056;2,950;3,679;0,022
2,975;7,532;-0,008;2,975;9,993;0,003;2,975;9,661;0,004;2,975;5,073;0,002;2,975;0,954;0,009;2,975;0,950;0,009;2,975;1,002;0,006;2,975;1,065;0,003;2,975;0,905;0,013;2,975;1,060;0,002;2,975;1,023;0,005;2,975;5,961;0,003;2,975;3,662;0,057;2,975;3,679;0,022
3,000;7,513;-0,008;3,000;9,993;0,003;3,000;9,655;0,005;3,000;5,073;0,002;3,000;0,951;0,008;3,000;0,950;0,009;3,000;1,002;0,007;3,000;1,066;0,002;3,000;0,902;0,012;3,000;1,059;0,002;3,000;1,022;0,006;3,000;5,920;0,004;3,000;3,500;0,057;3,000;3,679;0,023
3,025;7,471;-0,008;3,025;9,993;0,003;3,025;9,614;0,006;3,025;5,073;0,002;3,025;0,949;0,008;3,025;0,950;0,008;3,025;1,002;0,006;3,025;1,066;0,003;3,025;0,900;0,011;3,025;1,058;0,003;3,025;1,021;0,005;3,025;5,879;0,006;3,025;3,319;0,056;3,025;3,676;0,024
3,050;7,422;-0,008;3,050;9,993;0,004;3,050;9,551;0,005;3,050;5,073;0,001;3,050;0,946;0,009;3,050;0,950;0,009;3,050;1,002;0,005;3,050;1,065;0,004;3,050;0,899;0,012;3,050;1,056;0,003;3,050;1,020;0,004;3,050;5,853;0,004;3,050;3,161;0,057;3,050;3,642;0,022
3,075;7,368;-0,009;3,075;9,993;0,004;3,075;9,484;0,004;3,075;5,074;0,003;3,075;0,944;0,010;3,075;0,950;0,009;3,075;1,002;0,007;3,075;1,066;0,004;3,075;0,896;0,013;3,075;1,054;0,002;3,075;1,020;0,005;3,075;5,836;0,004;3,075;3,071;0,059;3,075;3,569;0,022
3,100;7,321;-0,010;3,100;9,993;0,003;3,100;9,425;0,006;3,100;5,073;0,002;3,100;0,942;0,009;3,100;0,950;0,008;3,100;1,002;0,007;3,100;1,066;0,002;3,100;0,894;0,013;3,100;1,053;0,003;3,100;1,019;0,006;3,100;5,808;0,005;3,100;3,059;0,058;3,100;3,485;0,024
3,125;7,291;-0,009;3,125;9,993;0,003;3,125;9,368;0,007;3,125;5,073;0,001;3,125;0,939;0,009;3,125;0,950;0,008;3,125;1,001;0,006;3,125;1,065;0,003;3,125;0,891;0,012;3,125;1,051;0,004;3,125;1,018;0,006;3,125;5,765;0,006;3,125;3,060;0,057;3,125;3,329;0,024
3,150;7,271;-0,009;3,150;9,993;0,004;3,150;9,295;0,006;3,150;5,073;0,002;3,150;0,938;0,010;3,150;0,950;0,009;3,150;0,999;0,005;3,150;1,066;0,004;3,150;0,887;0,012;3,150;1,049;0,003;3,150;1,018;0,005;3,150;5,724;0,004;3,150;3,060;0,059;3,150;3,122;0,024
3,175;7,255;-0,010;3,175;9,993;0,004;3,175;9,193;0,006;3,175;5,074;0,003;3,175;0,937;0,011;3,175;0,950;0,010;3,175;0,998;0,006;3,175;1,065;0,003;3,175;0,884;0,014;3,175;1,047;0,003;3,175;1,016;0,005;3,175;5,688;0,004;3,175;3,056;0,059;3,175;3,028;0,024
3,200;7,246;-0,011;3,200;9,993;0,003;3,200;9,100;0,008;3,200;5,076;0,003;3,200;0,936;0,009;3,200;0,948;0,008;3,200;0,996;0,007;3,200;1,066;0,003;3,200;0,882;0,014;3,200;1,047;0,003;3,200;1,015;0,006;3,200;5,650;0,005;3,200;3,052;0,058;3,200;2,982;0,025
3,225;7,239;-0,009;3,225;9,993;0,003;3,225;9,047;0,008;3,225;5,075;0,002;3,225;0,935;0,009;3,225;0,945;0,008;3,225;0,995;0,007;3,225;1,065;0,003;3,225;0,880;0,013;3,225;1,046;0,004;3,225;1,013;0,006;3,225;5,619;0,006;3,225;3,052;0,057;3,225;2,945;0,026
3,250;7,217;-0,009;3,250;9,993;0,004;3,250;9,020;0,007;3,250;5,069;0,002;3,250;0,933;0,010;3,250;0,941;0,010;3,250;0,993;0,006;3,250;1,062;0,004;3,250;0,878;0,013;3,250;1,046;0,004;3,250;1,010;0,005;3,250;5,586;0,004;3,250;3,052;0,058;3,250;2,917;0,025
3,275;7,163;-0,011;3,275;9,993;0,004;3,275;9,002;0,007;3,275;5,038;0,003;3,275;0,932;0,011;3,275;0,938;0,010;3,275;0,992;0,007;3,275;1,059;0,003;3,275;0,877;0,014;3,275;1,045;0,002;3,275;1,008;0,005;3,275;5,529;0,004;3,275;3,052;0,059;3,275;2,902;0,025
3,300;7,097;-0,011;3,300;9,993;0,003;3,300;8,977;0,008;3,300;4,992;0,003;3,300;0,930;0,010;3,300;0,936;0,009;3,300;0,991;0,007;3,300;1,056;0,003;3,300;0,876;0,014;3,300;1,045;0,003;3,300;1,007;0,007;3,300;5,454;0,005;3,300;3,052;0,058;3,300;2,899;0,026
3,325;7,046;-0,012;3,325;9,993;0,003;3,325;8,949;0,009;3,325;4,962;0,002;3,325;0,929;0,010;3,325;0,934;0,009;3,325;0,989;0,006;3,325;1,055;0,003;3,325;0,874;0,013;3,325;1,045;0,004;3,325;1,005;0,007;3,325;5,404;0,005;3,325;3,052;0,058;3,325;2,888;0,026
3,350;7,026;-0,011;3,350;9,993;0,004;3,350;8,937;0,008;3,350;4,942;0,001;3,350;0,928;0,011;3,350;0,933;0,011;3,350;0,987;0,006;3,350;1,055;0,005;3,350;0,873;0,013;3,350;1,044;0,004;3,350;1,003;0,005;3,350;5,379;0,004;3,350;3,052;0,058;3,350;2,860;0,025
3,375;7,015;-0,012;3,375;9,993;0,003;3,375;8,929;0,008;3,375;4,912;0,002;3,375;0,925;0,012;3,375;0,933;0,011;3,375;0,985;0,007;3,375;1,054;0,004;3,375;0,872;0,014;3,375;1,044;0,003;3,375;1,001;0,006;3,375;5,377;0,004;3,375;3,052;0,059;3,375;2,756;0,025
3,400;7,006;-0,012;3,400;9,993;0,003;3,400;8,907;0,009;3,400;4,883;0,003;3,400;0,923;0,011;3,400;0,933;0,009;3,400;0,984;0,008;3,400;1,053;0,003;3,400;0,871;0,014;3,400;1,043;0,003;3,400;1,000;0,007;3,400;5,377;0,005;3,400;3,040;0,058;3,400;2,678;0,027
3,425;6,996;-0,012;3,425;9,993;0,003;3,425;8,882;0,010;3,425;4,854;0,001;3,425;0,921;0,010;3,425;0,932;0,009;3,425;0,983;0,007;3,425;1,051;0,003;3,425;0,869;0,013;3,425;1,042;0,004;3,425;0,999;0,007;3,425;5,377;0,006;3,425;3,023;0,057;3,425;2,653;0,027
3,450;6,977;-0,011;3,450;9,993;0,004;3,450;8,873;0,009;3,450;4,838;0,002;3,450;0,919;0,011;3,450;0,932;0,011;3,450;0,981;0,006;3,450;1,049;0,005;3,450;0,868;0,014;3,450;1,040;0,004;3,450;0,999;0,006;3,450;5,376;0,005;3,450;2,982;0,059;3,450;2,651;0,026
3,475;6,937;-0,012;3,475;9,993;0,004;3,475;8,871;0,008;3,475;4,818;0,002;3,475;0,917;0,011;3,475;0,932;0,010;3,475;0,979;0,007;3,475;1,048;0,004;3,475;0,866;0,015;3,475;1,038;0,003;3,475;0,999;0,006;3,475;5,377;0,004;3,475;2,895;0,060;3,475;2,651;0,026
3,500;6,894;-0,013;3,500;9,993;0,002;3,500;8,870;0,009;3,500;4,803;0,003;3,500;0,916;0,011;3,500;0,932;0,009;3,500;0,977;0,008;3,500;1,047;0,003;3,500;0,864;0,015;3,500;1,036;0,003;3,500;0,999;0,007;3,500;5,377;0,005;3,500;2,799;0,059;3,500;2,654;0,027
3,525;6,867;-0,013;3,525;9,993;0,003;3,525;8,870;0,009;3,525;4,794;0,002;3,525;0,915;0,010;3,525;0,932;0,009;3,525;0,975;0,007;3,525;1,047;0,004;3,525;0,862;0,014;3,525;1,034;0,005;3,525;0,998;0,006;3,525;5,377;0,006;3,525;2,720;0,058;3,525;2,655;0,027
3,550;6,849;-0,012;3,550;9,993;0,004;3,550;8,870;0,009;3,550;4,774;0,002;3,550;0,915;0,011;3,550;0,932;0,010;3,550;0,973;0,007;3,550;1,047;0,005;3,550;0,858;0,014;3,550;1,032;0,004;3,550;0,998;0,005;3,550;5,380;0,005;3,550;2,628;0,060;3,550;2,661;0,026
3,575;6,821;-0,013;3,575;9,993;0,004;3,575;8,870;0,008;3,575;4,750;0,002;3,575;0,914;0,012;3,575;0,932;0,011;3,575;0,971;0,008;3,575;1,047;0,004;3,575;0,856;0,016;3,575;1,031;0,003;3,575;0,998;0,006;3,575;5,385;0,003;3,575;2,488;0,061;3,575;2,630;0,026
3,600;6,754;-0,014;3,600;9,993;0,003;3,600;8,870;0,009;3,600;4,722;0,002;3,600;0,914;0,011;3,600;0,930;0,010;3,600;0,968;0,009;3,600;1,046;0,003;3,600;0,854;0,015;3,600;1,030;0,004;3,600;0,997;0,007;3,600;5,389;0,005;3,600;2,380;0,061;3,600;2,502;0,027
3,625;6,655;-0,014;3,625;9,993;0,004;3,625;8,870;0,010;3,625;4,694;0,002;3,625;0,915;0,011;3,625;0,927;0,010;3,625;0,966;0,008;3,625;1,046;0,004;3,625;0,853;0,014;3,625;1,029;0,005;3,625;0,996;0,007;3,625;5,389;0,005;3,625;2,330;0,060;3,625;2,374;0,028
3,650;6,580;-0,014;3,650;9,993;0,004;3,650;8,870;0,009;3,650;4,672;0,002;3,650;0,915;0,012;3,650;0,924;0,011;3,650;0,965;0,007;3,650;1,045;0,005;3,650;0,852;0,015;3,650;1,029;0,005;3,650;0,995;0,006;3,650;5,389;0,004;3,650;2,295;0,061;3,650;2,328;0,027
3,675;6,569;-0,015;3,675;9,993;0,004;3,675;8,870;0,008;3,675;4,659;0,003;3,675;0,914;0,012;3,675;0,920;0,011;3,675;0,963;0,008;3,675;1,045;0,004;3,675;0,851;0,016;3,675;1,028;0,003;3,675;0,994;0,006;3,675;5,389;0,004;3,675;2,275;0,062;3,675;2,265;0,027
3,700;6,580;-0,016;3,700;9,993;0,003;3,700;8,870;0,009;3,700;4,639;0,002;3,700;0,914;0,011;3,700;0,917;0,010;3,700;0,961;0,009;3,700;1,043;0,003;3,700;0,851;0,016;3,700;1,029;0,004;3,700;0,993;0,007;3,700;5,389;0,005;3,700;2,254;0,061;3,700;2,181;0,029
3,725;6,587;-0,015;3,725;9,993;0,004;3,725;8,869;0,009;3,725;4,615;0,002;3,725;0,915;0,010;3,725;0,913;0,010;3,725;0,960;0,008;3,725;1,041;0,004;3,725;0,849;0,015;3,725;1,029;0,005;3,725;0,991;0,007;3,725;5,389;0,006;3,725;2,243;0,060;3,725;2,117;0,029
3,750;6,587;-0,014;3,750;9,993;0,004;3,750;8,869;0,008;3,750;4,584;0,001;3,750;0,915;0,012;3,750;0,912;0,012;3,750;0,958;0,007;3,750;1,039;0,005;3,750;0,846;0,015;3,750;1,028;0,004;3,750;0,989;0,006;3,750;5,385;0,004;3,750;2,239;0,061;3,750;2,077;0,028
